splitting_index,Edge,Edge_Diff,N1_X,N1_Y,N2_X,N2_Y,Load_G1,Load_G2
0,"(0, 163)",1.549999999999983,1059219.8151085,1823341.963549,1059225.0461085,1823341.3495490002,39.12000000000002,40.67
1,"(163, 43)",1.549999999999983,1059225.0461085,1823341.3495490002,1059227.7671085,1823341.030549,39.12000000000002,40.67
2,"(1, 0)",2.3699999999999903,1059183.6521085,1823346.206549,1059219.8151085,1823341.963549,38.710000000000015,41.080000000000005
3,"(1, 2)",3.6299999999999955,1059183.6521085,1823346.206549,1059180.5211085,1823346.595549,41.71000000000001,38.08000000000001
4,"(2, 119)",4.789999999999992,1059180.5211085,1823346.595549,1059136.3711085,1823352.080549,42.290000000000006,37.500000000000014
5,"(119, 118)",7.109999999999999,1059136.3711085,1823352.080549,1059132.7641085,1823352.5415490002,43.45000000000001,36.34000000000001
6,"(118, 167)",7.109999999999999,1059132.7641085,1823352.5415490002,1059131.3641085,1823352.726549,43.45000000000001,36.34000000000001
7,"(167, 168)",7.109999999999999,1059131.3641085,1823352.726549,1059128.4891085,1823353.087549,43.45000000000001,36.34000000000001
8,"(168, 30)",9.310000000000002,1059128.4891085,1823353.087549,1059104.0931085,1823356.1705490001,44.55000000000001,35.24000000000001
9,"(30, 294)",34.05000000000001,1059104.0931085,1823356.1705490001,1059100.4531085,1823356.630549,56.920000000000016,22.870000000000008
10,"(294, 283)",34.05000000000001,1059100.4531085,1823356.630549,1059095.4271085,1823357.256549,56.920000000000016,22.870000000000008
11,"(283, 134)",34.05000000000001,1059095.4271085,1823357.256549,1059086.1941085,1823358.313549,56.920000000000016,22.870000000000008
12,"(134, 135)",35.19000000000001,1059086.1941085,1823358.313549,1059030.4581085,1823364.691549,57.490000000000016,22.300000000000004
13,"(135, 136)",35.890000000000015,1059030.4581085,1823364.691549,1059026.2591085,1823365.186549,57.84000000000002,21.950000000000003
14,"(136, 361)",37.27000000000001,1059026.2591085,1823365.186549,1058986.6591085,1823369.8565490001,58.530000000000015,21.26
15,"(361, 267)",37.27000000000001,1058986.6591085,1823369.8565490001,1058984.5231085,1823370.134549,58.530000000000015,21.26
16,"(43, 44)",37.31,1059227.7671085,1823341.030549,1059226.5941085,1823331.103549,58.55000000000001,21.240000000000006
17,"(44, 301)",38.29000000000002,1059226.5941085,1823331.103549,1059225.6821085,1823323.3835490001,59.04000000000002,20.750000000000004
18,"(301, 29)",38.29000000000002,1059225.6821085,1823323.3835490001,1059225.9721085,1823320.520549,59.04000000000002,20.750000000000004
19,"(267, 266)",38.31000000000002,1058984.5231085,1823370.134549,1058944.7121085,1823375.310549,59.05000000000002,20.740000000000002
20,"(29, 28)",38.91000000000001,1059225.9721085,1823320.520549,1059231.6541085,1823285.0485490002,59.350000000000016,20.440000000000005
21,"(28, 364)",38.99000000000001,1059231.6541085,1823285.0485490002,1059231.9131085,1823283.4335490002,59.390000000000015,20.400000000000006
22,"(364, 146)",38.99000000000001,1059231.9131085,1823283.4335490002,1059239.0461085,1823243.039549,59.390000000000015,20.400000000000006
23,"(146, 152)",39.91000000000001,1059239.0461085,1823243.039549,1059239.8311085,1823238.598549,59.850000000000016,19.940000000000005
24,"(152, 151)",39.91000000000001,1059239.8311085,1823238.598549,1059240.1251085,1823236.934549,59.850000000000016,19.940000000000005
25,"(151, 129)",40.19000000000001,1059240.1251085,1823236.934549,1059245.6591085,1823205.6135490001,59.990000000000016,19.800000000000004
26,"(266, 265)",40.75000000000003,1058944.7121085,1823375.310549,1058940.3231085,1823375.8635490001,60.270000000000024,19.52
27,"(265, 137)",40.75000000000003,1058940.3231085,1823375.8635490001,1058937.0751085,1823376.343549,60.270000000000024,19.52
28,"(43, 200)",40.93000000000002,1059227.7671085,1823341.030549,1059282.2031085,1823334.657549,60.36000000000002,19.43
29,"(200, 199)",40.93000000000002,1059282.2031085,1823334.657549,1059324.2881085,1823329.898549,60.36000000000002,19.43
30,"(199, 198)",40.93000000000002,1059324.2881085,1823329.898549,1059332.2421085,1823328.999549,60.36000000000002,19.43
31,"(129, 128)",43.29000000000002,1059245.6591085,1823205.6135490001,1059246.7851085,1823199.211549,61.54000000000002,18.250000000000004
32,"(128, 127)",43.29000000000002,1059246.7851085,1823199.211549,1059247.2101085,1823196.7925490001,61.54000000000002,18.250000000000004
33,"(127, 359)",43.81000000000002,1059247.2101085,1823196.7925490001,1059252.0711085,1823169.149549,61.80000000000002,17.990000000000002
34,"(359, 384)",45.15000000000002,1059252.0711085,1823169.149549,1059252.3611085,1823167.499549,62.47000000000002,17.32
35,"(384, 383)",45.15000000000002,1059252.3611085,1823167.499549,1059258.5401085,1823134.1335490001,62.47000000000002,17.32
36,"(383, 382)",45.15000000000002,1059258.5401085,1823134.1335490001,1059258.9271085,1823132.043549,62.47000000000002,17.32
37,"(382, 185)",45.15000000000002,1059258.9271085,1823132.043549,1059265.0471085,1823100.0185490001,62.47000000000002,17.32
38,"(198, 75)",46.85000000000002,1059332.2421085,1823328.999549,1059329.3401085,1823306.9305490002,63.32000000000002,16.47
39,"(185, 184)",48.27000000000003,1059265.0471085,1823100.0185490001,1059265.3561085,1823098.402549,64.03000000000003,15.759999999999998
40,"(184, 183)",48.27000000000003,1059265.3561085,1823098.402549,1059272.8061085,1823070.685549,64.03000000000003,15.759999999999998
