Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
6600124322,229.43020652760833,229.49279140189043,229.49634243067763,74.0297250742,0.85,0.0,0.0,Group 2,A,1059281.6331085,1823318.2885490002,A,0.85,0.0,0.0
6300793002,222.27170800256545,227.5707603711888,223.75018740584133,635.6489652133339,0.0,0.0,0.0,Group 2,A,1059447.8591085,1822838.783549,A,0.0,0.0,0.0
6001595841,229.46976880282688,229.05284057116975,228.63243288615172,40.1460670178,0.0,0.0,0.03,Group 1,C,1058980.1531085,1823362.637549,B,0.0,0.03,0.0
5800301154,227.8799384277684,226.41088939955998,224.46251770759991,193.06552044767554,0.0,0.0,0.74,Group 1,C,1059143.2501085,1823347.358549,C,0.0,0.0,0.74
25573081,227.8799384277684,226.29584160936994,224.28716795587633,240.71000425221456,0.0,0.44,0.0,Group 1,B,1059192.5111085,1823341.151549,B,0.0,0.44,0.0
17237050,226.1783026346707,229.90323977827924,229.43557750327543,324.1473693229777,0.0,0.0,0.0,Group 1,A,1058959.4441085,1823654.296549,A,0.0,0.0,0.0
24011449,216.29801399125557,226.18161077018442,228.19788898985144,589.36770587682,0.31,0.0,0.0,Group 1,A,1058455.4491085,1823684.418549,A,0.31,0.0,0.0
26809473,226.07373229439736,229.90323977827924,229.43557750327543,433.16615531200483,0.14,0.0,0.0,Group 1,A,1058993.5401085,1823754.2145490001,A,0.14,0.0,0.0
5600618522,224.32404033490937,228.9098232514166,229.01676636521077,923.1918376651454,0.45,0.0,0.0,Group 1,A,1058281.3141085,1823104.836549,A,0.45,0.0,0.0
24498694,217.28247616328215,226.18161077018442,228.19788898985144,512.3145759372851,0.0,0.1,0.0,Group 1,B,1058519.5151085,1823627.885549,B,0.0,0.1,0.0
28815410,226.0555142342999,228.9098232514166,229.01676636521077,278.32352908370467,0.04,0.0,0.0,Group 1,A,1058784.4091085,1823215.774549,A,0.04,0.0,0.0
5800060942,226.84938205582276,225.94831032909443,223.59705553972321,330.68656670622397,0.0,0.0,0.0,Group 1,A,1059202.5601085,1823424.746549,B,0.0,0.0,0.0
5600394160,230.0,230.0,230.0,0.0,0.0,0.91,0.0,Group 1,B,1058949.8611085,1823370.763549,C,0.0,0.0,0.91
21185950,229.46976880282688,229.05284057116975,228.63243288615172,40.1460670178,0.0,0.0,0.43,Group 1,C,1058980.6031085,1823366.4645490001,C,0.0,0.0,0.43
6499445,227.8799384277684,226.41088939955998,224.46251770759991,193.06552044767554,0.0,0.0,0.33,Group 1,C,1059138.8381085,1823343.784549,C,0.0,0.0,0.33
23267938,226.08934093437364,229.90323977827924,229.43557750327543,404.10671235450485,0.15,0.0,0.0,Group 1,A,1058989.7471085,1823728.053549,A,0.15,0.0,0.0
6001523198,224.32409714360034,228.9098232514166,229.01676636521077,938.3693063854786,0.0,0.0,0.0,Group 1,A,1058279.9151085,1823116.4335490002,A,0.0,0.0,0.0
5800729536,229.56235105220975,229.10952740667202,229.49634243067763,46.07086997084293,0.12,0.0,0.0,Group 2,A,1059353.5241085,1823308.091549,A,0.12,0.0,0.0
6001595169,215.54332031895458,226.18161077018442,228.19788898985144,705.4771265627052,0.15,0.0,0.0,Group 1,A,1058369.4901085,1823758.061549,A,0.15,0.0,0.0
27554382,214.9431932150087,226.18161077018442,228.19788898985144,824.7356284475572,0.01,0.0,0.0,Group 1,A,1058280.6591085,1823836.327549,A,0.01,0.0,0.0
5800848469,217.41305743536654,226.36371813028634,228.19788898985144,635.860253114206,0.04,0.0,0.0,Group 1,A,1058481.6811085,1823441.043549,A,0.04,0.0,0.0
5800301787,224.76361331363904,228.9098232514166,229.01676636521077,692.4879063248289,0.1,0.0,0.0,Group 1,A,1058481.3221085,1823006.895549,A,0.1,0.0,0.0
B260187,221.43996021930917,222.36612299940688,225.59405002242028,251.35390581334855,0.0,0.05,0.0,Group 2,B,1059239.7471085,1823192.157549,C,0.0,0.0,0.05
6499432,226.55210782624795,228.76631469133866,228.9027730959783,111.99389594748726,0.0,0.07,0.0,Group 1,B,1058835.0651085,1823387.757549,B,0.0,0.07,0.0
5600394156,227.8799384277684,226.30346017152567,224.29217178401066,237.55493182827553,0.0,0.0,0.04,Group 1,C,1059173.5991085,1823343.381549,B,0.0,0.04,0.0
5800847679,226.1783026346707,229.90323977827924,229.43557750327543,324.1473693229777,0.0,0.0,0.0,Group 1,A,1058963.1681085,1823652.705549,A,0.0,0.0,0.0
D556620,226.24297167005318,229.90323977827924,229.43557750327543,240.0580576914115,0.14,0.0,0.0,Group 1,A,1058913.7751085,1823561.245549,A,0.14,0.0,0.0
5800644198,216.31496173064244,226.18161077018442,228.19788898985144,587.1789735954641,0.01,0.0,0.0,Group 1,A,1058462.5161085,1823676.951549,A,0.01,0.0,0.0
6001521529,217.68008683874868,226.36371813028634,228.19788898985144,593.0666178088644,0.0,0.0,0.0,Group 1,A,1058506.3261085,1823474.632549,A,0.0,0.0,0.0
5900535530,214.5845579344407,226.18161077018442,228.19788898985144,925.4993935455772,0.06,0.0,0.0,Group 1,A,1058205.6931085,1823895.293549,A,0.06,0.0,0.0
5700851973,225.01081081748083,228.9098232514166,229.01676636521077,603.64309202996,0.1,0.0,0.0,Group 1,A,1058534.4961085,1823066.2415490001,A,0.1,0.0,0.0
23621926,222.86773960861058,223.7398456794318,226.33493403028595,261.78406456159905,0.07,0.0,0.0,Group 2,A,1059183.8771085,1823239.955549,A,0.07,0.0,0.0
23621928,222.86773960861058,223.7398456794318,226.33493403028595,261.78406456159905,0.1,0.0,0.0,Group 2,A,1059188.2401085,1823243.739549,A,0.1,0.0,0.0
19446302,216.8602058980097,219.22649637253096,223.95872352175545,427.45321208689944,1.24,0.0,0.0,Group 2,A,1059233.8631085,1823059.027549,A,1.24,0.0,0.0
6499537,224.09072842859135,227.72607057247393,223.75018740584133,454.12663427873883,0.0,0.0,0.1,Group 2,C,1059535.2561085,1822931.556549,A,0.1,0.0,0.0
17519655,223.11347770789763,227.44473534515143,228.4101840718747,252.51369200429565,0.0,0.45,0.0,Group 1,B,1058716.1801085,1823460.776549,C,0.0,0.0,0.45
21228873,225.31534951876276,228.29121986496705,228.64694637282443,161.8578402062486,0.0,0.05,0.0,Group 1,B,1058782.7781085,1823409.787549,C,0.0,0.0,0.05
6499451,230.0,230.0,230.0,0.0,0.0,0.12,0.0,Group 1,B,1058945.9591085,1823371.138549,C,0.0,0.0,0.12
5700022184,227.8799384277684,226.430077032493,224.52856075139803,185.11943405569014,0.0,0.0,1.1,Group 1,C,1059125.2101085,1823347.470549,B,0.0,1.1,0.0
5600394158,226.24297167005318,229.90323977827924,229.43557750327543,240.0580576914115,0.88,0.0,0.0,Group 1,A,1058910.4541085,1823565.840549,A,0.88,0.0,0.0
5700087952,222.28761267835282,227.5707603711888,223.75018740584133,633.1037876162885,0.0,0.0,0.0,Group 2,A,1059457.8491085,1822844.159549,A,0.0,0.0,0.0
6101207949,227.16218665316006,224.44578578874714,221.48511744369208,598.8341616976525,0.0,0.0,0.0,Group 1,B,1058749.0211085,1823478.470549,C,0.0,0.0,0.0
21185940,214.2924414701717,217.45180650856565,222.3461091473379,581.1797368677262,0.35,0.0,0.0,Group 2,A,1059300.3731085,1822917.919549,A,0.35,0.0,0.0
27554197,227.78854286548534,228.67468425116596,226.55901759850676,158.4047941913529,0.0,0.0,0.0,Group 2,A,1059381.4731085,1823181.067549,C,0.0,0.0,0.0
6200202042,229.4413201922504,229.0020233107361,228.5633102840502,42.30008187376272,0.0,0.0,0.0,Group 1,C,1058988.4841085,1823369.733549,C,0.0,0.0,0.0
25574346,226.0759225904583,229.90323977827924,229.43557750327543,318.6591905249444,0.0,0.0,0.0,Group 1,A,1058838.1641085,1823573.124549,A,0.0,0.0,0.0
5800847325,214.7560425106514,226.18161077018442,228.19788898985144,866.4588401288572,0.13,0.0,0.0,Group 1,A,1058247.6991085,1823863.844549,A,0.13,0.0,0.0
6200201246,214.72595799293,226.18161077018442,228.19788898985144,874.0550940168772,0.21,0.0,0.0,Group 1,A,1058239.0331085,1823866.938549,A,0.21,0.0,0.0
19178409,214.72595799293,226.18161077018442,228.19788898985144,874.0550940168772,0.09,0.0,0.0,Group 1,A,1058240.6971085,1823869.9715490001,A,0.09,0.0,0.0
6601962749,216.64670015202375,226.36371813028634,228.19788898985144,871.2718766015809,0.1,0.0,0.0,Group 1,A,1058358.6231085,1823303.0015490002,A,0.1,0.0,0.0
5700430023,229.50944059053938,228.24375786597346,229.49634243067763,99.86313443314293,0.01,0.0,0.0,Group 2,A,1059403.4791085,1823302.595549,A,0.01,0.0,0.0
29334682,221.43996021930917,222.36612299940688,225.59405002242028,251.35390581334855,0.0,0.21,0.0,Group 2,B,1059244.4211085,1823188.8195490001,C,0.0,0.0,0.21
15359236,217.21038031534576,226.18161077018442,228.19788898985144,516.3122592992271,0.17,0.0,0.0,Group 1,A,1058512.7551085,1823638.408549,A,0.17,0.0,0.0
6000068096,223.11347770789763,227.44473534515143,228.4101840718747,252.51369200429565,0.0,0.07,0.0,Group 1,B,1058713.8281085,1823457.7245490002,B,0.0,0.07,0.0
6001595842,230.0,230.0,230.0,0.0,0.0,0.19,0.0,Group 1,B,1058945.4711085,1823367.273549,C,0.0,0.0,0.19
5600394155,227.8799384277684,226.30346017152567,224.29217178401066,237.55493182827553,0.0,0.0,0.16,Group 1,C,1059177.2111085,1823338.7955490001,C,0.0,0.0,0.16
6001520655,226.0759225904583,229.90323977827924,229.43557750327543,277.9195675002115,0.91,0.0,0.0,Group 1,A,1058881.0541085,1823565.632549,A,0.91,0.0,0.0
15281730,214.31496564411657,217.45180650856565,222.3461091473379,574.9090676146906,0.05,0.0,0.0,Group 2,A,1059305.8451085,1822913.617549,A,0.05,0.0,0.0
