Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
28753890,230.0,228.3175459210261,230.0,70.91204216620551,0.0,0.6,0.0,Group 1,B,962740.4481085001,1720349.782549,B,0.0,0.6,0.0
23144877,230.0,225.32667324935375,230.0,378.43233517012635,0.0,0.0,0.0,Group 1,B,962436.1821085,1720383.2245490002,B,0.0,0.0,0.0
29378618,229.79753513202476,229.90004288710554,230.0,21.711459195180904,0.62,0.0,0.0,Group 2,A,962737.5291085001,1720509.7105490002,B,0.0,0.62,0.0
27344576,230.0,224.9198747202714,230.0,460.2230972630975,0.0,0.08,0.0,Group 1,B,962363.9441084999,1720393.2785490002,B,0.0,0.08,0.0
6101006051,229.68720313428534,229.98902029907526,230.0,48.52028222146103,0.0,0.0,0.0,Group 2,B,962753.3781085,1720440.6535490002,B,0.0,0.0,0.0
29378388,229.07868620641668,229.73769241836203,230.0,129.2151331658265,0.0,0.4,0.0,Group 2,B,962717.2931085001,1720621.078549,B,0.0,0.4,0.0
30494594,229.69439229391506,229.99398109525126,230.0,51.582498813434995,0.96,0.0,0.0,Group 2,A,962731.0201085,1720465.7005490002,A,0.96,0.0,0.0
6100974496,229.13871713936382,229.31860845553211,230.0,240.53404560560236,0.5,0.0,0.0,Group 1,A,962983.0481085,1720247.2105490002,A,0.5,0.0,0.0
23867452,230.0,224.17433278113208,230.0,522.9760367512956,0.0,0.24,0.0,Group 1,B,962422.0561085001,1720278.8465490001,B,0.0,0.24,0.0
6500033241,229.62413419713255,229.9858198886361,230.0,62.663191072769024,0.49,0.0,0.0,Group 2,A,962758.3631084999,1720420.120549,B,0.0,0.49,0.0
6602747505,230.0,228.3175459210261,230.0,70.91204216620551,0.0,0.0,0.0,Group 1,B,962740.0921085,1720345.7815490002,B,0.0,0.0,0.0
22380589,229.43554829134584,229.31860845553211,230.0,83.70265132838925,0.21,0.0,0.0,Group 1,A,962814.5731085001,1720247.681549,A,0.21,0.0,0.0
28753104,230.0,228.21089912665622,230.0,105.2786804183142,0.0,0.75,0.0,Group 1,B,962750.2701085,1720390.4885490001,B,0.0,0.75,0.0
5900977796,230.0,227.21489716938984,230.0,149.31947078586396,0.0,0.04,0.0,Group 1,B,962660.7911085,1720349.6295490002,B,0.0,0.04,0.0
5900068685,230.0,224.1893051880933,230.0,519.9528303408356,0.0,0.77,0.0,Group 1,B,962407.4061085,1720286.701549,B,0.0,0.77,0.0
6000859701,229.43651480901687,229.9769242758167,230.0,134.58957075226903,0.44,0.0,0.0,Group 2,A,962770.8961085,1720359.6805490002,B,0.0,0.44,0.0
6400135333,229.51816759582024,227.01100284830434,230.0,349.2232835908901,0.0,1.21,0.0,Group 1,B,962487.0291085001,1720249.353549,B,0.0,1.21,0.0
6100471432,229.52159256895786,229.9769242758167,230.0,101.97374421066903,0.0,0.06,0.0,Group 2,B,962768.3221084999,1720381.338549,B,0.0,0.06,0.0
6001502527,229.5562196709265,229.50086948634362,230.0,38.78662787938926,1.36,0.0,0.0,Group 1,A,962781.3651085,1720268.8155490002,A,1.36,0.0,0.0
26952213,230.0,224.17433278113208,230.0,522.9760367512956,0.0,0.82,0.0,Group 1,B,962417.9271084999,1720281.904549,B,0.0,0.82,0.0
6300794448,229.51816759582024,226.89003363947512,230.0,392.5709404709901,0.0,0.73,0.0,Group 1,B,962451.3631084999,1720249.0385490002,B,0.0,0.73,0.0
26890396,230.0,227.66271488402137,230.0,111.58883520946397,0.0,1.11,0.0,Group 1,B,962699.9231085,1720351.483549,B,0.0,1.11,0.0
5700038766,229.51816759582024,229.05693938033795,230.0,73.28505822095816,0.0,1.44,0.0,Group 1,B,962770.2911085,1720249.215549,B,0.0,1.44,0.0
24211306,230.0,228.0932021758666,230.0,142.12520868090843,0.0,0.84,0.0,Group 1,B,962742.1931085,1720427.4175490001,B,0.0,0.84,0.0
23872007,230.0,230.0,230.0,0.0,0.37,0.0,0.0,Group 1,A,962773.5051084999,1720310.682549,A,0.37,0.0,0.0
5900034173,230.0,224.17433278113208,230.0,522.9760367512956,0.0,0.22,0.0,Group 1,B,962420.4341084999,1720282.686549,B,0.0,0.22,0.0
30423947,229.63922608751326,229.86581550005118,230.0,44.375700722280904,0.1,0.0,0.0,Group 2,A,962732.6071085001,1720533.3395490001,B,0.0,0.1,0.0
6300615446,230.0,227.21489716938984,230.0,149.31947078586396,0.0,0.91,0.0,Group 1,B,962657.2181084999,1720349.543549,B,0.0,0.91,0.0
6400135432,230.0,230.0,230.0,0.0,3.12,0.0,0.0,Group 2,A,962742.4641084999,1720488.766549,A,3.12,0.0,0.0
6300543525,229.79753513202476,229.90004288710554,230.0,21.711459195180904,0.0,0.82,0.0,Group 2,B,962739.5101085,1720507.870549,B,0.0,0.82,0.0
6602722472,229.43651480901687,229.9769242758167,230.0,134.58957075226903,0.25,0.0,0.0,Group 2,A,962769.7931085001,1720355.5795490001,B,0.0,0.25,0.0
6700339788,229.60033048063838,229.57340814617956,230.0,33.14966690731926,1.12,0.0,0.0,Group 1,A,962780.1781085001,1720274.338549,A,1.12,0.0,0.0
6000859863,226.29700337643672,229.73769241836203,230.0,777.7124478007468,0.06,0.0,0.0,Group 2,A,962121.3971084999,1720796.691549,A,0.06,0.0,0.0
6602560491,226.29700337643672,229.73769241836203,230.0,777.7124478007468,0.35,0.0,0.0,Group 2,A,962119.0941085,1720801.546549,A,0.35,0.0,0.0
30423878,228.27756610335413,229.73769241836203,230.0,250.47391163996582,0.75,0.0,0.0,Group 2,A,962648.3781085,1720765.8425490002,A,0.75,0.0,0.0
27464328,226.29700337643672,229.73769241836203,230.0,777.7124478007468,0.13,0.0,0.0,Group 2,A,962122.0731085001,1720799.4305490002,A,0.13,0.0,0.0
6001294013,226.29700337643672,229.73769241836203,230.0,777.7124478007468,0.01,0.0,0.0,Group 2,A,962118.3961085,1720797.661549,A,0.01,0.0,0.0
5801262340,228.02424267519453,229.73769241836203,230.0,317.9053900017147,0.0,0.0,0.0,Group 2,A,962594.8871084999,1720778.1535490002,A,0.0,0.0,0.0
30423892,226.29700337643672,229.73769241836203,230.0,777.7124478007468,0.43,0.0,0.0,Group 2,A,962119.2051085001,1720800.394549,A,0.43,0.0,0.0
6602747707,228.27756610335413,229.73769241836203,230.0,250.47391163996582,0.0,0.0,0.0,Group 2,A,962619.9201084999,1720648.029549,A,0.0,0.0,0.0
