splitting_index,Edge,Edge_Diff,N1_X,N1_Y,N2_X,N2_Y,Load_G1,Load_G2
0,"(70, 69)",4.859999999999985,1101049.4651085,1650638.777549,1101022.7101085,1650644.2645490002,61.88000000000001,66.74
1,"(41, 70)",6.839999999999975,1101055.6921085,1650637.500549,1101049.4651085,1650638.777549,60.890000000000015,67.72999999999999
2,"(69, 110)",12.620000000000005,1101022.7101085,1650644.2645490002,1101020.2681085,1650644.664549,70.62,58.0
3,"(41, 172)",34.059999999999995,1101055.6921085,1650637.500549,1101066.8741085,1650693.276549,81.34,47.28000000000001
4,"(172, 45)",34.059999999999995,1101066.8741085,1650693.276549,1101075.3631085,1650735.6235490001,81.34,47.28000000000001
5,"(45, 361)",36.95999999999999,1101075.3631085,1650735.6235490001,1101074.5451085,1650765.550549,82.78999999999999,45.830000000000005
6,"(361, 360)",36.95999999999999,1101074.5451085,1650765.550549,1101074.7841085,1650767.914549,82.78999999999999,45.830000000000005
7,"(360, 294)",36.95999999999999,1101074.7841085,1650767.914549,1101078.8781085,1650808.399549,82.78999999999999,45.830000000000005
8,"(294, 293)",37.22,1101078.8781085,1650808.399549,1101079.4501085,1650814.050549,82.92,45.7
9,"(293, 38)",40.120000000000005,1101079.4501085,1650814.050549,1101082.1281085,1650854.2175490002,84.37,44.25
10,"(110, 263)",54.03999999999999,1101020.2681085,1650644.664549,1101017.8781085,1650647.229549,91.33,37.290000000000006
11,"(263, 264)",54.03999999999999,1101017.8781085,1650647.229549,1100993.4281085,1650650.827549,91.33,37.290000000000006
12,"(264, 265)",54.03999999999999,1100993.4281085,1650650.827549,1100924.8641085,1650658.813549,91.33,37.290000000000006
13,"(265, 248)",54.03999999999999,1100924.8641085,1650658.813549,1100920.0381085,1650659.357549,91.33,37.290000000000006
14,"(248, 173)",75.94,1100920.0381085,1650659.357549,1100920.6361085,1650659.770549,102.28,26.340000000000003
15,"(173, 174)",75.94,1100920.6361085,1650659.770549,1100944.1661085,1650680.5255490001,102.28,26.340000000000003
16,"(38, 39)",81.75999999999999,1101082.1281085,1650854.2175490002,1101120.3041085,1650855.5655490002,105.19,23.43
17,"(39, 19)",81.75999999999999,1101120.3041085,1650855.5655490002,1101123.4391085,1650855.790549,105.19,23.43
18,"(19, 20)",84.9,1101123.4391085,1650855.790549,1101164.6831085,1650858.7485490001,106.76,21.860000000000003
19,"(20, 21)",84.9,1101164.6831085,1650858.7485490001,1101167.5641085,1650858.730549,106.76,21.860000000000003
20,"(174, 233)",85.0,1100944.1661085,1650680.5255490001,1100939.5561085,1650656.022549,106.81,21.810000000000002
21,"(233, 232)",85.0,1100939.5561085,1650656.022549,1100939.4441085,1650656.023549,106.81,21.810000000000002
22,"(232, 231)",85.0,1100939.4441085,1650656.023549,1100939.3371085,1650656.017549,106.81,21.810000000000002
23,"(231, 230)",85.0,1100939.3371085,1650656.017549,1100939.2371085,1650656.003549,106.81,21.810000000000002
24,"(230, 229)",85.0,1100939.2371085,1650656.003549,1100939.1881085,1650655.993549,106.81,21.810000000000002
25,"(229, 228)",85.0,1100939.1881085,1650655.993549,1100939.1411085,1650655.982549,106.81,21.810000000000002
26,"(228, 227)",85.0,1100939.1411085,1650655.982549,1100939.0961085,1650655.968549,106.81,21.810000000000002
27,"(227, 226)",85.0,1100939.0961085,1650655.968549,1100939.0521085,1650655.9545490001,106.81,21.810000000000002
28,"(226, 225)",85.0,1100939.0521085,1650655.9545490001,1100939.0091085,1650655.9375490001,106.81,21.810000000000002
29,"(225, 224)",85.0,1100939.0091085,1650655.9375490001,1100938.9681085,1650655.918549,106.81,21.810000000000002
30,"(224, 223)",85.0,1100938.9681085,1650655.918549,1100938.9281085,1650655.898549,106.81,21.810000000000002
31,"(223, 222)",85.0,1100938.9281085,1650655.898549,1100938.8521085,1650655.851549,106.81,21.810000000000002
32,"(222, 221)",85.0,1100938.8521085,1650655.851549,1100938.7831085,1650655.7985490002,106.81,21.810000000000002
33,"(221, 220)",85.0,1100938.7831085,1650655.7985490002,1100938.7491085,1650655.767549,106.81,21.810000000000002
34,"(220, 219)",85.0,1100938.7491085,1650655.767549,1100938.7161085,1650655.7345490002,106.81,21.810000000000002
35,"(219, 218)",85.0,1100938.7161085,1650655.7345490002,1100938.6831085,1650655.6975490001,106.81,21.810000000000002
36,"(218, 217)",85.0,1100938.6831085,1650655.6975490001,1100938.6521085,1650655.658549,106.81,21.810000000000002
37,"(217, 216)",85.0,1100938.6521085,1650655.658549,1100938.6211085,1650655.617549,106.81,21.810000000000002
38,"(216, 215)",85.0,1100938.6211085,1650655.617549,1100938.5921085,1650655.573549,106.81,21.810000000000002
39,"(215, 214)",85.0,1100938.5921085,1650655.573549,1100938.5651085,1650655.529549,106.81,21.810000000000002
40,"(214, 213)",85.0,1100938.5651085,1650655.529549,1100938.5401085,1650655.483549,106.81,21.810000000000002
41,"(213, 212)",85.0,1100938.5401085,1650655.483549,1100938.5161085,1650655.4375490001,106.81,21.810000000000002
42,"(212, 211)",85.0,1100938.5161085,1650655.4375490001,1100938.4961085,1650655.3895490002,106.81,21.810000000000002
43,"(211, 210)",85.0,1100938.4961085,1650655.3895490002,1100938.4781085,1650655.343549,106.81,21.810000000000002
44,"(210, 209)",85.0,1100938.4781085,1650655.343549,1100938.4621085,1650655.296549,106.81,21.810000000000002
45,"(209, 208)",85.0,1100938.4621085,1650655.296549,1100938.4491085,1650655.2515490002,106.81,21.810000000000002
46,"(208, 207)",85.0,1100938.4491085,1650655.2515490002,1100938.4391085,1650655.2075490002,106.81,21.810000000000002
47,"(207, 206)",85.0,1100938.4391085,1650655.2075490002,1100938.4271085,1650655.121549,106.81,21.810000000000002
48,"(206, 205)",85.0,1100938.4271085,1650655.121549,1100938.4251085,1650655.0755490002,106.81,21.810000000000002
49,"(205, 204)",85.0,1100938.4251085,1650655.0755490002,1100938.4251085,1650655.0285490002,106.81,21.810000000000002
50,"(204, 203)",85.0,1100938.4251085,1650655.0285490002,1100938.4291085,1650654.979549,106.81,21.810000000000002
51,"(203, 202)",85.0,1100938.4291085,1650654.979549,1100938.4341085,1650654.929549,106.81,21.810000000000002
52,"(202, 201)",85.0,1100938.4341085,1650654.929549,1100938.4421085,1650654.878549,106.81,21.810000000000002
53,"(201, 200)",85.0,1100938.4421085,1650654.878549,1100938.4521085,1650654.828549,106.81,21.810000000000002
54,"(200, 199)",85.0,1100938.4521085,1650654.828549,1100938.4641085,1650654.777549,106.81,21.810000000000002
55,"(199, 198)",85.0,1100938.4641085,1650654.777549,1100938.4791085,1650654.726549,106.81,21.810000000000002
56,"(198, 197)",85.0,1100938.4791085,1650654.726549,1100938.4951085,1650654.6775490001,106.81,21.810000000000002
57,"(197, 196)",85.0,1100938.4951085,1650654.6775490001,1100938.5141085,1650654.6295490002,106.81,21.810000000000002
58,"(196, 195)",85.0,1100938.5141085,1650654.6295490002,1100938.5331085,1650654.583549,106.81,21.810000000000002
59,"(195, 194)",85.0,1100938.5331085,1650654.583549,1100938.5551085,1650654.539549,106.81,21.810000000000002
60,"(194, 193)",85.0,1100938.5551085,1650654.539549,1100938.5781085,1650654.4985490001,106.81,21.810000000000002
61,"(193, 192)",85.0,1100938.5781085,1650654.4985490001,1100938.6031085,1650654.4605490002,106.81,21.810000000000002
62,"(192, 191)",85.0,1100938.6031085,1650654.4605490002,1100938.6551085,1650654.3905490001,106.81,21.810000000000002
63,"(191, 190)",85.0,1100938.6551085,1650654.3905490001,1100938.7171085,1650654.3255490002,106.81,21.810000000000002
64,"(190, 189)",85.0,1100938.7171085,1650654.3255490002,1100938.7841085,1650654.266549,106.81,21.810000000000002
65,"(189, 188)",85.0,1100938.7841085,1650654.266549,1100938.8221085,1650654.2385490001,106.81,21.810000000000002
66,"(188, 187)",85.0,1100938.8221085,1650654.2385490001,1100938.8601085,1650654.212549,106.81,21.810000000000002
67,"(187, 186)",85.0,1100938.8601085,1650654.212549,1100938.9011085,1650654.1875490001,106.81,21.810000000000002
68,"(186, 185)",85.0,1100938.9011085,1650654.1875490001,1100938.9431085,1650654.164549,106.81,21.810000000000002
69,"(185, 184)",85.0,1100938.9431085,1650654.164549,1100938.9871085,1650654.142549,106.81,21.810000000000002
70,"(184, 183)",85.0,1100938.9871085,1650654.142549,1100939.0811085,1650654.1025490002,106.81,21.810000000000002
71,"(183, 182)",85.0,1100939.0811085,1650654.1025490002,1100939.1821085,1650654.0685490002,106.81,21.810000000000002
72,"(182, 181)",85.0,1100939.1821085,1650654.0685490002,1100939.2901085,1650654.040549,106.81,21.810000000000002
73,"(181, 180)",85.0,1100939.2901085,1650654.040549,1100938.2021085,1650645.936549,106.81,21.810000000000002
