Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
6000422566,229.90813294292045,225.8489835184745,225.10305809596443,190.72857662069438,0.0,1.61,0.0,Group 2,B,1129615.1871085,1699415.3425490002,B,0.0,1.61,0.0
6300861853,228.0141506752043,227.4486101235862,228.52952247810782,84.89312959194817,0.0,0.0,1.57,Group 1,C,1129915.0051085,1699394.5185490001,C,0.0,0.0,1.57
28663200,219.19205946242263,227.90153856431473,229.70115927956192,163.23139447210988,0.0,0.22,0.0,Group 1,B,1129849.2821085,1699200.132549,B,0.0,0.22,0.0
26841242,229.95426523566624,228.34354648575655,228.1045990769548,44.89882273866485,0.0,0.0,0.62,Group 2,C,1129607.7051085,1699268.7105490002,B,0.0,0.62,0.0
6201328205,228.0141506752043,227.4486101235862,228.52952247810782,84.89312959194817,0.0,0.0,0.57,Group 1,C,1129912.6001085,1699397.017549,B,0.0,0.57,0.0
30367385,227.0800097895071,228.25615950167324,229.0099315448833,60.35206238007308,0.0,1.3,0.0,Group 2,B,1129518.8281085,1699210.550549,C,0.0,0.0,1.3
5700132851,223.49170823854809,226.34644823112282,228.29088646953878,145.13500287300263,0.0,0.9,0.0,Group 2,B,1129501.4191085,1699144.512549,A,0.9,0.0,0.0
6400215165,223.34663831042297,228.55565973518975,229.81598174220585,97.36037409069266,0.0,0.0,0.0,Group 1,A,1129897.8701085,1699240.358549,C,0.0,0.0,0.0
6400111183,229.9337428557416,227.75960724365672,227.60717193886146,65.04614945125485,0.0,0.79,0.0,Group 2,B,1129610.3721085,1699289.1945490001,B,0.0,0.79,0.0
6500772247,229.90813294292045,226.72672352828104,226.52184352881946,109.00815593961914,0.0,2.45,0.0,Group 2,B,1129609.0721085,1699334.7685490001,A,2.45,0.0,0.0
