splitting_index,Edge,Edge_Diff,N1_X,N1_Y,N2_X,N2_Y,Load_G1,Load_G2
0,"(64, 65)",1.1800000000000068,1129683.2261085,1699308.578549,1129682.0551085,1699308.067549,48.64999999999999,49.83
1,"(65, 66)",1.1800000000000068,1129682.0551085,1699308.067549,1129648.4541085,1699289.841549,48.64999999999999,49.83
2,"(66, 103)",1.6199999999999903,1129648.4541085,1699289.841549,1129646.9031085,1699289.000549,50.04999999999999,48.43
3,"(103, 100)",1.6199999999999903,1129646.9031085,1699289.000549,1129616.0171085,1699269.554549,50.04999999999999,48.43
4,"(67, 68)",5.019999999999996,1129717.6031085,1699323.147549,1129716.1951085,1699322.9275490001,46.73,51.74999999999999
5,"(68, 64)",5.019999999999996,1129716.1951085,1699322.9275490001,1129683.2261085,1699308.578549,46.73,51.74999999999999
6,"(116, 120)",7.359999999999999,1129794.1641085,1699332.625549,1129754.3021085,1699328.902549,45.559999999999995,52.919999999999995
7,"(120, 121)",7.359999999999999,1129754.3021085,1699328.902549,1129752.3771085,1699328.600549,45.559999999999995,52.919999999999995
8,"(121, 58)",7.359999999999999,1129752.3771085,1699328.600549,1129748.7101085,1699328.0255490001,45.559999999999995,52.919999999999995
9,"(58, 59)",7.359999999999999,1129748.7101085,1699328.0255490001,1129730.2791085,1699325.135549,45.559999999999995,52.919999999999995
10,"(59, 67)",7.359999999999999,1129730.2791085,1699325.135549,1129717.6031085,1699323.147549,45.559999999999995,52.919999999999995
11,"(110, 116)",7.799999999999997,1129796.1201085,1699332.7145490001,1129794.1641085,1699332.625549,45.339999999999996,53.13999999999999
12,"(109, 63)",9.239999999999995,1129835.1201085,1699334.497549,1129836.1351085,1699334.524549,53.85999999999999,44.62
13,"(109, 110)",9.239999999999995,1129835.1201085,1699334.497549,1129796.1201085,1699332.7145490001,44.62,53.85999999999999
14,"(63, 62)",12.14,1129836.1351085,1699334.524549,1129873.6371084999,1699336.2275490002,55.309999999999995,43.169999999999995
15,"(62, 4)",12.14,1129873.6371084999,1699336.2275490002,1129874.8521085,1699336.2275490002,55.309999999999995,43.169999999999995
16,"(4, 3)",12.5,1129874.8521085,1699336.2275490002,1129895.6271085,1699336.164549,55.489999999999995,42.989999999999995
17,"(100, 56)",29.539999999999992,1129616.0171085,1699269.554549,1129612.5571085,1699267.208549,64.00999999999999,34.47
18,"(56, 12)",38.559999999999974,1129612.5571085,1699267.208549,1129593.5761085,1699254.027549,68.51999999999998,29.960000000000004
19,"(12, 11)",42.559999999999974,1129593.5761085,1699254.027549,1129577.1901085,1699242.647549,70.51999999999998,27.960000000000004
20,"(11, 54)",47.379999999999974,1129577.1901085,1699242.647549,1129575.6771085,1699241.600549,72.92999999999998,25.550000000000004
21,"(54, 53)",49.01999999999998,1129575.6771085,1699241.600549,1129548.9261085,1699222.730549,73.74999999999999,24.730000000000004
22,"(53, 38)",51.03999999999999,1129548.9261085,1699222.730549,1129534.0101085,1699212.208549,74.75999999999999,23.720000000000002
23,"(38, 37)",51.03999999999999,1129534.0101085,1699212.208549,1129526.3601085,1699206.8125490001,74.75999999999999,23.720000000000002
24,"(37, 83)",53.95999999999998,1129526.3601085,1699206.8125490001,1129495.3611085,1699183.2415490001,76.21999999999998,22.26
25,"(3, 5)",55.079999999999984,1129895.6271085,1699336.164549,1129913.8521085,1699336.311549,76.77999999999999,21.7
26,"(5, 47)",55.079999999999984,1129913.8521085,1699336.311549,1129914.9231085,1699336.320549,76.77999999999999,21.7
27,"(47, 13)",55.079999999999984,1129914.9231085,1699336.320549,1129920.4131085,1699335.838549,76.77999999999999,21.7
28,"(3, 31)",55.900000000000006,1129895.6271085,1699336.164549,1129894.8331085,1699327.6675490001,77.19,21.289999999999996
29,"(31, 32)",55.900000000000006,1129894.8331085,1699327.6675490001,1129894.7241085,1699280.888549,77.19,21.289999999999996
30,"(32, 33)",55.900000000000006,1129894.7241085,1699280.888549,1129894.9851085,1699279.246549,77.19,21.289999999999996
31,"(33, 52)",58.28,1129894.9851085,1699279.246549,1129898.9261085,1699253.651549,78.38,20.099999999999998
32,"(52, 90)",58.28,1129898.9261085,1699253.651549,1129892.4821085,1699240.675549,78.38,20.099999999999998
33,"(90, 89)",58.28,1129892.4821085,1699240.675549,1129874.5631085,1699224.209549,78.38,20.099999999999998
34,"(89, 113)",59.599999999999994,1129874.5631085,1699224.209549,1129843.2871085,1699205.557549,79.03999999999999,19.439999999999998
35,"(113, 82)",60.52,1129843.2871085,1699205.557549,1129838.1191085,1699202.475549,79.5,18.979999999999997
36,"(82, 81)",60.52,1129838.1191085,1699202.475549,1129836.9101085,1699201.7545490002,79.5,18.979999999999997
37,"(81, 80)",60.52,1129836.9101085,1699201.7545490002,1129808.1281085,1699172.2385490001,79.5,18.979999999999997
38,"(80, 79)",60.96,1129808.1281085,1699172.2385490001,1129807.1111085,1699169.865549,79.72,18.759999999999998
39,"(79, 51)",60.96,1129807.1111085,1699169.865549,1129804.1661085,1699162.993549,79.72,18.759999999999998
40,"(13, 14)",62.5,1129920.4131085,1699335.838549,1129917.0631085,1699355.4035490002,80.49,17.99
41,"(14, 15)",62.5,1129917.0631085,1699355.4035490002,1129917.2131085,1699356.827549,80.49,17.99
