splitting_index,Edge,Edge_Diff,N1_X,N1_Y,N2_X,N2_Y,Load_G1,Load_G2
0,"(28, 27)",0.6899999999999977,1143628.6781085,1656775.8125490001,1143594.4431085,1656790.462549,10.509999999999998,9.82
1,"(27, 24)",1.0499999999999972,1143594.4431085,1656790.462549,1143567.9441085,1656801.828549,10.689999999999998,9.64
2,"(24, 23)",1.0499999999999972,1143567.9441085,1656801.828549,1143560.3291085,1656805.1025490002,10.689999999999998,9.64
3,"(23, 50)",1.6299999999999955,1143560.3291085,1656805.1025490002,1143519.2111085,1656823.046549,10.979999999999997,9.350000000000001
4,"(50, 62)",1.6299999999999955,1143519.2111085,1656823.046549,1143517.1851085,1656823.921549,10.979999999999997,9.350000000000001
5,"(62, 61)",1.6299999999999955,1143517.1851085,1656823.921549,1143514.0661085,1656825.266549,10.979999999999997,9.350000000000001
6,"(61, 60)",3.529999999999994,1143514.0661085,1656825.266549,1143481.4701085,1656839.3255490002,11.929999999999996,8.400000000000002
7,"(60, 59)",4.0099999999999945,1143481.4701085,1656839.3255490002,1143444.6361085,1656853.7275490002,12.169999999999996,8.160000000000002
8,"(59, 53)",4.429999999999996,1143444.6361085,1656853.7275490002,1143440.9961085,1656855.130549,12.379999999999997,7.950000000000001
9,"(53, 52)",4.429999999999996,1143440.9961085,1656855.130549,1143401.8391085,1656871.661549,12.379999999999997,7.950000000000001
10,"(52, 51)",5.289999999999998,1143401.8391085,1656871.661549,1143398.6281085,1656873.0555490002,12.809999999999999,7.5200000000000005
11,"(51, 26)",5.289999999999998,1143398.6281085,1656873.0555490002,1143367.2531085,1656886.061549,12.809999999999999,7.5200000000000005
12,"(26, 49)",8.809999999999995,1143367.2531085,1656886.061549,1143370.4821085,1656894.5695490001,14.569999999999997,5.760000000000001
13,"(49, 32)",8.809999999999995,1143370.4821085,1656894.5695490001,1143364.1691085,1656905.118549,14.569999999999997,5.760000000000001
14,"(32, 33)",9.549999999999997,1143364.1691085,1656905.118549,1143362.1961085,1656908.289549,14.939999999999998,5.390000000000001
