Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
21448071,230.0,230.0,230.0,0.0,0.09,0.0,0.0,Group 2,A,1143407.0031085,1656885.260549,A,0.09,0.0,0.0
18765906,228.5148758925138,230.0,230.0,167.8168214311316,0.0,0.0,0.0,Group 2,A,1143501.3801085,1656950.853549,A,0.0,0.0,0.0
27399694,228.53982442964227,230.0,230.0,266.9627397286455,0.22,0.0,0.0,Group 1,A,1143881.5421085,1656696.034549,A,0.22,0.0,0.0
6400019876,228.54698915052785,230.0,230.0,125.51405322014624,0.29,0.0,0.0,Group 2,A,1143493.3821085,1656914.595549,A,0.29,0.0,0.0
B293019,230.0,230.0,230.0,0.0,0.1,0.0,0.0,Group 2,A,1143402.4861085,1656882.908549,A,0.1,0.0,0.0
5701269965,228.93321232883932,230.0,230.0,70.1200353491,0.87,0.0,0.0,Group 2,A,1143464.4421085,1656859.9235490002,A,0.87,0.0,0.0
5900703160,229.20890111616856,230.0,230.0,44.098309621987724,0.0,0.0,0.0,Group 2,A,1143354.9591085,1656912.803549,A,0.0,0.0,0.0
18638591,228.54852764352322,230.0,230.0,131.30656515826715,0.21,0.0,0.0,Group 2,A,1143309.0851085,1656915.132549,A,0.21,0.0,0.0
6100968627,228.54852764352322,230.0,230.0,131.30656515826715,0.5,0.0,0.0,Group 2,A,1143307.8211085,1656911.3425490002,A,0.5,0.0,0.0
5900973168,229.1460382713028,230.0,230.0,47.83300773569915,0.37,0.0,0.0,Group 2,A,1143359.5511085,1656898.005549,A,0.37,0.0,0.0
21488453,230.0,230.0,230.0,0.0,0.19,0.0,0.0,Group 1,A,1143627.7721085,1656784.777549,A,0.19,0.0,0.0
5800757884,228.5148758925138,230.0,230.0,204.17395841973158,0.0,0.0,0.0,Group 2,A,1143515.4371085,1656976.899549,A,0.0,0.0,0.0
21488451,228.5148758925138,230.0,230.0,167.8168214311316,0.2,0.0,0.0,Group 2,A,1143505.1271085,1656949.452549,A,0.2,0.0,0.0
6400019884,228.7293989345932,230.0,230.0,89.37640855870461,0.9,0.0,0.0,Group 2,A,1143478.6311085,1656873.884549,A,0.9,0.0,0.0
30300442,228.76417823995925,230.0,230.0,155.31606023845973,1.17,0.0,0.0,Group 1,A,1143780.1401085,1656724.5315490002,A,1.17,0.0,0.0
6001444568,228.7293989345932,230.0,230.0,89.37640855870461,0.0,0.0,0.0,Group 2,A,1143474.8811085,1656874.931549,A,0.0,0.0,0.0
6101404511,227.624970160003,230.0,230.0,278.610313244523,0.29,0.0,0.0,Group 2,A,1143559.0521085,1656813.364549,A,0.29,0.0,0.0
6200872137,230.0,230.0,230.0,0.0,0.12,0.0,0.0,Group 2,A,1143406.3281085,1656881.490549,A,0.12,0.0,0.0
5900806420,228.54698915052785,230.0,230.0,125.51405322014624,0.75,0.0,0.0,Group 2,A,1143490.6441085,1656909.556549,A,0.75,0.0,0.0
16491744,228.49764074583885,230.0,230.0,367.9887706554132,0.11,0.0,0.0,Group 1,A,1143975.5081085,1656665.448549,A,0.11,0.0,0.0
6200872130,228.54698915052785,230.0,230.0,125.51405322014624,0.09,0.0,0.0,Group 2,A,1143489.0701085,1656917.148549,A,0.09,0.0,0.0
5900703155,230.0,230.0,230.0,0.0,0.24,0.0,0.0,Group 2,A,1143403.9721085,1656886.6235490001,A,0.24,0.0,0.0
6000589818,228.76062966801646,230.0,230.0,77.5051041007088,0.72,0.0,0.0,Group 2,A,1143358.0131085,1656894.364549,A,0.72,0.0,0.0
A384266,228.7293989345932,230.0,230.0,89.37640855870461,0.13,0.0,0.0,Group 2,A,1143476.2831085,1656879.029549,A,0.13,0.0,0.0
5900703161,229.20890111616856,230.0,230.0,44.098309621987724,0.15,0.0,0.0,Group 2,A,1143351.4681085,1656910.8635490001,A,0.15,0.0,0.0
6001451597,228.54852764352322,230.0,230.0,131.30656515826715,0.31,0.0,0.0,Group 2,A,1143305.2951085,1656916.395549,A,0.31,0.0,0.0
23325893,228.4879351866999,230.0,230.0,106.69129698868089,0.24,0.0,0.0,Group 2,A,1143406.5651085,1656873.7105490002,A,0.24,0.0,0.0
23721907,228.15746260926966,230.0,230.0,153.0957895070785,0.08,0.0,0.0,Group 2,A,1143452.7571085,1656858.5255490001,A,0.08,0.0,0.0
5800782399,229.9071834804946,230.0,230.0,30.952643540103615,0.2,0.0,0.0,Group 1,A,1143651.9671085,1656802.3125490001,A,0.2,0.0,0.0
5700575382,228.4879351866999,230.0,230.0,106.69129698868089,0.04,0.0,0.0,Group 2,A,1143407.5971085,1656875.932549,A,0.04,0.0,0.0
A628276,228.4879351866999,230.0,230.0,106.69129698868089,0.15,0.0,0.0,Group 2,A,1143409.9781085,1656871.884549,A,0.15,0.0,0.0
5700410315,228.53982442964227,230.0,230.0,266.9627397286455,0.12,0.0,0.0,Group 1,A,1143876.4291085,1656693.0965490001,A,0.12,0.0,0.0
5900703159,228.56116275902147,230.0,230.0,128.04250740748142,0.02,0.0,0.0,Group 2,A,1143319.0681085,1656907.841549,A,0.02,0.0,0.0
6200406068,228.54698915052785,230.0,230.0,125.51405322014624,0.0,0.0,0.0,Group 2,A,1143486.8211085,1656911.294549,A,0.0,0.0,0.0
5801459097,229.9071834804946,230.0,230.0,30.952643540103615,0.19,0.0,0.0,Group 1,A,1143658.4171085,1656805.3125490001,A,0.19,0.0,0.0
5901014879,228.15746260926966,230.0,230.0,153.0957895070785,0.13,0.0,0.0,Group 2,A,1143451.4341085,1656855.1165490001,A,0.13,0.0,0.0
5701270299,229.6895803081321,230.0,230.0,391.10232375875285,0.16,0.0,0.0,Group 1,A,1143751.2631085,1657146.807549,A,0.16,0.0,0.0
26003399,228.53982442964227,230.0,230.0,266.9627397286455,0.0,0.0,0.0,Group 1,A,1143877.0011085,1656697.253549,A,0.0,0.0,0.0
5700410316,229.35657350411205,230.0,230.0,70.88834096888016,0.08,0.0,0.0,Group 1,A,1143686.3251085,1656759.4545490001,A,0.08,0.0,0.0
5900703163,229.94861535193152,230.0,230.0,2.7556168093816034,0.2,0.0,0.0,Group 2,A,1143392.5261085,1656887.1835490002,A,0.2,0.0,0.0
5900703162,229.20890111616856,230.0,230.0,44.098309621987724,0.07,0.0,0.0,Group 2,A,1143356.6841085,1656907.961549,A,0.07,0.0,0.0
6500734714,229.4164168057051,230.0,230.0,35.3089055197,0.7,0.0,0.0,Group 2,A,1143428.3231085,1656873.1665490002,A,0.7,0.0,0.0
24272337,227.59950533776666,230.0,230.0,315.733030629573,0.18,0.0,0.0,Group 2,A,1143591.4461085,1656800.682549,A,0.18,0.0,0.0
6200613994,228.69635410196608,230.0,230.0,181.60085076456326,0.17,0.0,0.0,Group 1,A,1143798.8531085,1656723.625549,A,0.17,0.0,0.0
5801459099,228.60506577784253,230.0,230.0,228.76376903427348,0.06,0.0,0.0,Group 1,A,1143842.2631085,1656705.218549,A,0.06,0.0,0.0
6000589819,227.9073886097174,230.0,230.0,192.64526687407272,0.24,0.0,0.0,Group 2,A,1143491.2011085,1656844.328549,A,0.24,0.0,0.0
6101425752,230.0,230.0,230.0,0.0,7.4,0.0,0.0,Group 1,A,1143626.2621084999,1656781.6735490002,A,7.4,0.0,0.0
6000754587,229.20890111616856,230.0,230.0,44.098309621987724,0.06,0.0,0.0,Group 2,A,1143353.5101085,1656907.4715490001,A,0.06,0.0,0.0
28896683,229.35657350411205,230.0,230.0,70.88834096888016,0.44,0.0,0.0,Group 1,A,1143690.8121085,1656756.853549,A,0.44,0.0,0.0
6000755823,228.7293989345932,230.0,230.0,89.37640855870461,0.43,0.0,0.0,Group 2,A,1143479.7031085,1656877.604549,A,0.43,0.0,0.0
6300276136,227.71535592455555,230.0,230.0,228.1439245528727,0.95,0.0,0.0,Group 2,A,1143515.8431085,1656829.385549,A,0.95,0.0,0.0
